Participant;Time;Attention;Meditation
P01;14:48:25;51;34
P01;14:48:26;63;37
P01;14:48:27;63;37
P01;14:48:28;63;37
P01;14:48:29;67;35
P01;14:48:30;67;37
P01;14:48:31;61;30
P01;14:48:32;53;26
P01;14:48:33;57;26
P01;14:48:34;57;20
P01;14:48:35;57;30
P01;14:48:36;48;14
P01;14:48:37;48;14
P01;14:48:38;50;38
P01;14:48:39;37;41
P01;14:48:40;44;64
P01;14:48:41;40;80
P01;14:48:42;48;78
P01;14:48:43;48;78
P01;14:48:44;50;64
P01;14:48:45;41;47
P01;14:48:46;35;24
P01;14:48:47;54;10
P01;14:48:48;66;21
P01;14:48:49;83;27
P01;14:48:50;91;21
P01;14:48:51;78;53
P01;14:48:52;78;67
P01;14:48:53;60;63
P01;14:48:54;66;75
P01;14:48:55;81;51
P01;14:48:56;63;13
P01;14:48:57;64;16
P01;14:48:58;48;17
P01;14:48:59;40;23
P01;14:49:00;48;41
P01;14:49:01;60;54
P01;14:49:02;67;53
P01;14:49:03;53;47
P01;14:49:04;47;44
P01;14:49:05;23;23
P01;14:49:06;4;16
P01;14:49:07;16;34
P01;14:49:08;21;44
P01;14:49:09;37;47
P01;14:49:10;48;48
P01;14:49:11;48;38
P01;14:49:12;44;35
P01;14:49:13;50;50
P01;14:49:14;54;51
P01;14:49:15;48;56
P01;14:49:16;56;60
P01;14:49:17;56;51
P01;14:49:18;56;64
P01;14:49:19;67;64
P01;14:49:20;75;63
P01;14:49:21;74;60
P01;14:49:22;75;47
P01;14:49:23;77;47
P01;14:49:24;75;27
P01;14:49:25;77;41
P01;14:49:26;77;51
P01;14:49:27;70;51
P01;14:49:28;60;60
P01;14:49:29;60;47
P01;14:49:30;51;48
P01;14:49:31;43;57
P01;14:49:32;53;66
P01;14:49:33;67;67
P01;14:49:34;83;66
P01;14:49:35;90;67
P01;14:49:36;90;41
P01;14:49:37;80;53
P01;14:49:38;70;66
P01;14:49:39;69;54
P01;14:49:40;74;84
P01;14:49:41;75;93
P01;14:49:42;80;80
P01;14:49:43;81;88
P01;14:49:44;75;88
P01;14:49:45;54;67
P01;14:49:46;41;66
P01;14:49:47;44;64
P01;14:49:48;43;60
P01;14:49:49;63;69
P01;14:49:50;74;66
P01;14:49:51;66;50
P01;14:49:52;51;41
P01;14:49:53;47;41
P01;14:49:54;37;60
P01;14:49:55;37;66
P01;14:49:56;43;90
P01;14:49:57;43;83
P01;14:49:58;47;48
P01;14:49:59;37;54
P01;14:50:00;53;38
P01;14:50:01;57;38
P01;14:50:02;54;37
P01;14:50:03;57;37
P01;14:50:04;40;41
P01;14:50:05;27;44
P01;14:50:06;35;53
P01;14:50:07;40;63
P01;14:50:08;54;64
P01;14:50:09;78;54
P01;14:50:10;67;66
P01;14:50:11;67;48
P01;14:50:12;51;43
P01;14:50:13;37;57
P01;14:50:14;50;44
P01;14:50:15;60;27
P01;14:50:16;78;21
P01;14:50:17;83;13
P01;14:50:18;57;4
P01;14:50:19;56;23
P01;14:50:20;48;26
P01;14:50:21;44;35
P01;14:50:22;63;53
P01;14:50:23;54;63
P01;14:50:24;57;48
P01;14:50:25;66;47
P01;14:50:26;61;60
P01;14:50:27;56;56
P01;14:50:28;53;69
P01;14:50:29;50;67
P01;14:50:30;54;51
P01;14:50:31;61;53
P01;14:50:32;70;48
P01;14:50:33;47;41
P01;14:50:34;34;37
P01;14:50:35;43;40
P01;14:50:36;44;43
P01;14:50:37;67;57
P01;14:50:38;74;74
P01;14:50:39;54;64
P01;14:50:40;23;56
P01;14:50:41;4;26
P01;14:50:42;1;27
P01;14:50:43;3;38
P01;14:50:44;17;56
P01;14:50:45;35;81
P01;14:50:46;48;77
P01;14:50:47;69;57
P01;14:50:48;83;53
P01;14:50:49;83;51
P01;14:50:50;81;37
